,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,METADATA,EFFECTIVE_COUPON_AMOUNT,POI_ID,CARD_INITIAL_NUMBER,OPERATION_TAGS,ITEM_ID,POI_BANK_NAME,POI_WALLET_NAME,BUSINESS_UNIT,SUB_UNIT,BALANCE_AMOUNT,PAYOUT_BANK_ACCOUNT_NUMBER,PRODUCT_SKU,SALE_DETAIL
23,2024-01-03T13:27:08.000-03:00,69921073276,,release,reserve_for_payout,30000.00,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-03T13:27:08.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0,,,,,,,,,74821.33,,,
24,2024-01-03T13:27:08.000-03:00,69921073276,,release,payout,0.00,30000.00,-30000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-03T13:27:08.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0.00,,,,,,,,,44821.33,00998944,,
25,2024-01-03T13:27:11.000-03:00,,,available_balance,post_payout_69921073276,44821.33,0.00,44821.33,0.00,0.00,0.00,0.00,0.00,0.00,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,44821.33,,,
26,2024-01-03T15:26:36.000-03:00,68778983826,2000007152370234,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-14T17:03:01.000-03:00,,,,,,,BRL,"""[]""",42909957141,custom,2000007152370234,,"""{""official_store_id"":null}""",0.00,,422061,,MLB3428434259,,,Mercado Libre, ,47034.08,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
27,2024-01-03T15:51:41.000-03:00,68271565914,2000007076172874,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-06T16:50:14.000-03:00,,,,,,,BRL,"""[]""",42877288099,custom,2000007076172874,,"""{""official_store_id"":null}""",0.00,,415275,,MLB3428434259,,,Mercado Libre, ,49246.83,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
28,2024-01-03T22:11:19.000-03:00,68824680408,2000007159116500,release,payment,2246.15,0.00,2690.00,0.00,-443.85,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-15T11:51:31.000-03:00,,,,,,,BRL,"""[]""",42912996204,custom,2000007159116500,,"""{""official_store_id"":null}""",0.00,,544839,,MLB3491287977,,,Mercado Libre, ,51492.98,,,"""""""Bebedouro De Ãgua 100 Litros AÃ§o InoxidÃ¡vel Coluna 100l"""""""
29,2024-01-04T07:30:12.000-03:00,1029488223214,,release,asset_management,21.09,0.00,21.09,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-04T07:30:12.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0.00,,,,,,,,,51514.07,,,
30,2024-01-04T11:48:17.000-03:00,,,available_balance,pre_payout_69972729948,51514.07,0.00,51514.07,0.00,0.00,0.00,0.00,0.00,0.00,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,51514.07,,,
31,2024-01-04T11:48:20.000-03:00,69972729948,,release,reserve_for_payout,0.00,30000.00,-30000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-04T11:48:20.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0,,,,,,,,,21514.07,,,
32,2024-01-04T11:48:22.000-03:00,69972729948,,release,reserve_for_payout,30000.00,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-04T11:48:22.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0,,,,,,,,,51514.07,,,
